ASC_Name,Provider_ID,NPI,City,State,Zip_Code,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_8_Rate,ASC_8_Footnote,ASC_9_Rate,ASC_9_Footnote,ASC_10_Rate,ASC_10_Footnote,ASC_11_Rate,ASC_11_Footnote,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_RSHV_Rate,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote
ROXBURY CLINIC AND SURGERY CENTER INC,05C0001658,1003001967,xyz,CA,90210,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,0,,0,,0,,0.524,,88.89,,58.33,,79.17,,N/A,5,297,No Different than the National Rate,13.7,9.7,19.6,
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,0,,0,,0,,0,,93.51,,72.55,,80,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,0,,0,,0,,0,,91.57,,97.22,,89.15,,N/A,5,601,No Different than the National Rate,10.7,7.6,15.1,
YORK COUNTY ENDOSCOPY CENTER LLC,42C0001080,1003058744,ROCK HILL,SC,29732,N/A,5,N/A,5,N/A,5,N/A,5,90,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,0,,0,,0,,0,,96.15,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SPECIALTY ASC LLC,29C0001049,1003064890,LAS VEGAS,NV,89117,N/A,5,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WASC LLC,36C0001248,1003079187,WOOSTER,OH,44691,0,,0,,0,,0,,76.92,,94.23,,77.38,,N/A,5,142,No Different than the National Rate,13,9,19.2,
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,0,,0,,0,,0,,62.5,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CREVE COEUR SURGERY CENTER LLC,26C0001033,1003110792,CREVE COEUR,MO,63141,0,,0,,0,,0,,70.45,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHERN NEW JERSEY ENDOSCOPY CENTER,31C0001270,1003116823,NEWTON,NJ,7860,0,,0,,0,,0,,87.1,,46.03,,0,,N/A,5,469,No Different than the National Rate,11.1,7.7,15.7,
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,0,,0,,0,,0,,88.41,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
